id,Company,About company,Company outlook,Company size (number of employees),Company type,Compensation band,Contact details,Content,How to apply,Last edited time,Market,Priority,Scope of AI,Status,Tips,Website
111,Intuit,"Intuit has embedded its proprietary AI (Intuit Assist) across TurboTax, QuickBooks, and Credit Karma for financial productivity and decision-making.",Positive,large,Giant/Unicorn,1cr+,No single accessible India-relevant contact — formal hiring process. Apply via http://intuit.com/careers; large Bangalore office.,"Dear Intuit,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Intuit is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",International,Medium,"Intuit Assist — genAI financial assistant embedded across TurboTax, QuickBooks, Credit Karma, and Mailchimp.",Ready,"Large Bangalore R&D presence (genuine product-building location, not just delivery). Target Intuit Assist or QuickBooks AI product teams specifically.",https://www.intuit.com
112,Salesforce,"Salesforce has made Agentforce (autonomous AI agents for CRM workflows) the centerpiece of its product and growth strategy, alongside Einstein AI across the broader CRM suite.",Very positive,large,Giant/Unicorn,1cr+,No single accessible India-relevant contact — formal hiring process. Apply via http://salesforce.com/company/careers.,"Dear Salesforce,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Salesforce is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",International,Medium,"Agentforce — autonomous AI agents for sales, service, and marketing workflows across the Salesforce CRM platform, plus Einstein AI.",Ready,"Note: Salesforce India and Slack (also Salesforce-owned) already exist as separate rows — differentiate by targeting global Agentforce product roles here. Strong, very current AI growth narrative.",https://www.salesforce.com
113,HubSpot,"HubSpot has built Breeze, its AI layer across marketing, sales, and customer service hubs, aimed at SMB/mid-market customers.",Positive,large,Giant/Unicorn,1cr+,No single accessible India-relevant contact — formal hiring process. Apply via http://hubspot.com/careers.,"Dear HubSpot,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. HubSpot is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"April 28, 2026 9:25 AM",International,Medium,"Breeze — AI agents and copilot across HubSpot's marketing, sales, and service hubs for SMB/mid-market customers.",Ready,Check for India-eligible remote roles specifically. Target Breeze product team for the most relevant AI-PM fit.,https://www.hubspot.com
114,Sierra,"Enterprise AI customer service agent platform. $1.585B total raised, $15.8B valuation (May 2026 Series E). $150M ARR. 40%+ of Fortune 50 as customers.",Very positive,,Startup,1cr+,"Bret Taylor (CEO, Co-founder) — http://linkedin.com/in/brettaylor | X: @btaylor | Clay Bavor (Co-founder) — http://linkedin.com/in/claybavor | Apply via http://sierra.ai/careers","Dear Sierra,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Sierra is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:33 AM",International,High,"Core. AI agents that handle customer service end-to-end across chat, voice, email, and SMS. Agent OS platform. Outcomes-based pricing.",Ready,"Apply at http://sierra.ai/careers. Company is scaling fast post $950M raise (May 2026). CEO Bret Taylor is also OpenAI board chairman — very high profile but not easy to cold reach. Clay Bavor (co-founder) is more accessible on LinkedIn. Interview process is rigorous: take-home paid work sample, pair-programming, system design for agent evaluation. Best PM angle: enterprise adoption and agent trust — Sierra is moving into 40% of the Fortune 50 which means the PM problem is now rollout, governance, and proven ROI at enterprise scale. Sierra has offices in Tokyo and Singapore — Japan angle is a direct hook given Tanishk's Japan background. Japan entry backed by SoftBank Vision Fund 2.",https://sierra.ai
115,Decagon,"AI customer experience platform. $481M raised, $4.5B valuation (Jan 2026). 434 employees. Customers: Notion, Duolingo, Rippling, Deutsche Telekom, Avis Budget Group.",Very positive,,Startup,1cr+,Jesse Zhang (CEO) — X: @thejessezhang | http://linkedin.com/in/thejessezhang | Apply via http://decagon.ai/careers,"Hi Jesse.

I've been following Decagon and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"June 20, 2026 12:39 PM",International,High,"Core. AI agents for end-to-end customer support across chat, email, and voice. Per-resolution pricing. Decagon Voice (via ElevenLabs partnership).",Reached out,"Apply at http://decagon.ai/careers. Company is in blitz-scale phase post $250M Series D (Jan 2026). CTO Ashwin Sreenivas was a Databricks Data + AI Summit 2026 keynote speaker — good warm hook. CEO Jesse Zhang is reachable on LinkedIn. Decagon targets mid-market to enterprise (Notion, Duolingo, Rippling-type companies) vs Sierra's Fortune 50 focus. PM problem: going from 100+ enterprise customers to hundreds while maintaining quality. Voice is a newer product line and needs PM attention. Customers include India-rooted companies (Rippling) — India expansion is a likely next move.",https://decagon.ai
116,Mistral AI,"Paris-based frontier AI lab. Open-weight LLMs plus proprietary products. $3.9B raised, ~€12-20B valuation (targeting €20B in new round), 1,000 employees, €1B revenue target for 2026.",Very positive,,Startup,1cr+,Arthur Mensch (CEO) — http://linkedin.com/in/arthur-mensch | X: @arthurmsch | Apply via http://mistral.ai/careers,"Dear Mistral,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Mistral is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:33 AM",International,High,"Core. Frontier LLMs (open-weight and proprietary), Vibe (agentic AI product), Le Chat / Vibe assistant, Studio platform, industrial AI (Emmi acquisition), sovereign AI for EU governments and enterprises.",Ready,"Apply at http://mistral.ai/careers. Actively hiring across research, engineering, and product for agentic systems. CEO Arthur Mensch is visible and reachable on X/LinkedIn. French company with offices in Paris and London, and Palo Alto presence. EU/sovereign angle is the key differentiator — lean into it if you have any overlap. Industrial AI is a new product line (Emmi acquisition May 2026) and likely needs PM coverage. Vibe (rebranded Le Chat) is their consumer/enterprise AI product and a natural PM focus area. €400M ARR, targeting €1B in 2026 — they are in a serious growth phase.",https://mistral.ai
117,Thinking Machines Lab,"Research lab led by ex-OpenAI CTO Mira Murati. ~$2B raised, founded 2025.",Positive,small,Startup,1cr+,"Mira Murati (CEO, Founder, ex-OpenAI CTO), Soumith Chintala (CTO, ex-PyTorch creator), John Schulman (Chief Scientist). SF HQ, ~140-169 employees. No specific PM listing found; check http://thinkingmachines.ai careers.","Dear Thinking Machines Lab,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
A team rebuilding around 'interaction models' that listen and respond in real time is exactly the kind of frontier product bet I want next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",DM Founder,"June 21, 2026 6:16 PM",International,Medium,Core. Frontier research and applied AI products.,Ready,"Major nuance: significant founding-team exodus. Of the original founders, 5 went to Meta (including a reported $1.5B package for Andrew Tulloch), 3 returned to OpenAI, 1 joined xAI. Murati rejected a ~$1B Meta acquisition offer before the raid began. Funding stayed at the original $12B valuation after a $50B round attempt collapsed (Jan 2026) when investors wanted more product proof first. Real positives: $2B raised (largest AI seed round in history, July 2025), shipped Tinker (fine-tuning API) and is previewing 'interaction models' — real-time, low-latency AI that processes continuous audio/video/text streams. New compute partnerships with Nvidia and Google worth billions. CTO is now Soumith Chintala (PyTorch creator, ex-Meta FAIR). Worth understanding the leadership churn honestly before any conversation — this is a real, ongoing story, not settled.",https://thinkingmachines.ai
118,Cognition,"Autonomous AI software engineer (Devin) + Windsurf IDE. $2.5B+ total raised, $26B valuation (May 2026). $492M ARR. 350+ employees. Goldman Sachs, NASA, Mercedes-Benz as customers.",Very positive,,Startup,1cr+,"Scott Wu (CEO, Co-founder) — http://linkedin.com/in/scottcwu | X: @ScottWu46 | Apply via http://cognition.ai/careers","Dear Cognition,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Cognition is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:33 AM",International,High,Core. Devin: fully autonomous AI software engineer. Windsurf: AI-native IDE (acquired July 2025). 90% of Cognition's own code written by Devin.,Ready,"Apply at http://cognition.ai/careers. Actively hiring to expand product post $1B raise. Key angle: PM for the enterprise adoption layer — helping Goldman Sachs and Mercedes-Benz build trust with fully autonomous agents is a genuine PM problem distinct from developer tooling. Jeff Wang (Incoming President, ex-Windsurf CEO) is now prominent leadership — reachable on LinkedIn post Data + AI Summit. Scott Wu (CEO) is active on X. Company is on a blitz-scale footing. Focus on Devin enterprise PM or Windsurf IDE PM as the two distinct product lines.",https://cognition.ai
119,Groq,Purpose-built fast inference chips and cloud.,Positive,,Startup,1cr+,"Interim CEO Adam Winter, CFO Matt Eng (post Jonathan Ross/Sunny Madra departure to Nvidia) — http://linkedin.com/company/groq/jobs | Apply via http://wow.groq.com/careers","Dear Groq,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Groq's pivot from hardware-first to platform-first under new leadership is exactly the kind of 0-to-1 product problem I want to work on next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",DM Founder,"June 21, 2026 3:54 AM",International,Medium,Core. Inference hardware plus API.,Ready,"Major leadership churn: founder/CEO Jonathan Ross and President Sunny Madra left for Nvidia as part of the Dec 2025 $20B licensing deal. Adam Winter (interim CEO) and Matt Eng (CFO) now lead the new strategic direction: pivoting from chip hardware to an inference cloud business. Raising $650M from existing investors (May 2026) on top of $750M Series E (Sept 2025, $6.9B valuation). 2M+ developers on GroqCloud, growing fast. Best angle for Tanishk: PM for GroqCloud developer platform or enterprise inference adoption — the pivot from hardware-first to platform-first needs product leadership. Open role discovery needed: check http://wow.groq.com/careers directly, LinkedIn jobs page has listings.",https://groq.com
120,Cursor (Anysphere),"AI-native code editor. $2B ARR (Q1 2026), $29.3B valuation (Nov 2025), reportedly in talks at $50B in April 2026. ~400 employees. Founded 2022 by 4 MIT engineers.",Very positive,,Startup,1cr+,"Michael Truell (CEO, Co-founder) — http://linkedin.com/in/michaeltruell | X: @truell20 | Apply via http://cursor.com/careers","Dear Cursor,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Cursor is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:33 AM",International,High,"Core. AI-native IDE replacing traditional editors. Tab autocomplete, inline rewrite, Background Agents for async autonomous coding. SWE-bench leader at 80.8%.",Ready,"Apply at http://cursor.com/careers. Tiny team relative to revenue ($2B ARR with ~400 people). PM roles are very rare. Best angle: not a general PM application but a specific technical PM with depth in developer tooling and AI agents. Michael Truell (CEO) is reachable on X and LinkedIn. Reportedly in talks with SpaceX for a $60B acquisition — if that closes, the company landscape changes significantly. No India office. This is a long shot for remote but worth trying. Reference the SWE-bench score and what it means for the PM problem of building trust with senior engineers.",https://cursor.com
121,Baseten,Production-grade model deployment. ~$585M raised.,Very positive,,Startup,1cr+,"Co-founder Amir Haghighat, CEO Tuhin Srivastava — SF HQ. Careers via http://baseten.co/careers","Dear Baseten,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
You're building the AWS for inference at exactly the moment that category is exploding — that's the kind of infrastructure problem I want to work on next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",DM Founder,"June 21, 2026 4:05 AM",International,Medium,Core. Model deployment and inference.,Ready,"Hottest inference startup right now. $300M Series E (Jan 2026) at $5B, now in talks for $1.5B at $13B valuation, less than 5 months later — a 160% jump. Nvidia personally put in $150M. Hit ~$600M annualized revenue (March 2026), up 1,900% YoY. Customers include Cursor, Notion, Abridge, Clay. Acquired Parsed (RL/post-training startup) to deepen AI specialization. Building 'the next AWS for inference.' This is one of the single hottest funding stories in AI infra in 2026 — great timing for outreach, but very high competition for any role.",https://baseten.co
122,Resolve AI,AI that diagnoses and fixes production and software issues. Forbes AI 50 Brink.,Very positive,,Startup,1cr+,"Spiros Xanthos (Founder, CEO) — SF HQ, onsite (all listed roles in-office). Careers via http://resolve.ai/careers","Dear Resolve AI,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
A 22-person team with $150M+ raised and Fortune 500 customers already — that's exactly the 0-to-1 leverage I want next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",DM Founder,"June 21, 2026 4:05 AM",International,Medium,Core. SRE and code-fix agents.,Ready,"Raised $40M at $1.5B valuation (April 2026, DST Global + Salesforce Ventures led), on top of $125M Series A at $1B (Feb 2026) and earlier $35M seed (backed by Fei-Fei Li, Jeff Dean). $150M+ total raised in just 16 months since stealth exit. Enterprise customers already include Coinbase, DoorDash, MongoDB, MSCI, Salesforce, Zscaler. Multi-agent system that triages alerts, investigates and resolves production incidents, drafts PRs and post-mortems autonomously. Strong founder pedigree: built OpenTelemetry, founding team has worked together since 2012. Only 22 employees per Built In — very early, high-leverage stage to join. Onsite SF required for all current roles.",https://resolve.ai
123,Fireworks AI,"Fast, cheap frontier model access for developers. ~$327M raised.",Very positive,medium,Startup,1cr+,Founded by Meta PyTorch and Google Vertex AI veterans. San Mateo HQ. Careers via http://job-boards.greenhouse.io/fireworksai,"Dear Fireworks AI,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Your Forward Deployed PM role sits right at the intersection of AI infrastructure and customer-facing product — exactly where I want to be next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 21, 2026 4:06 AM",International,Medium,Core. Fast model serving.,Ready,"In talks to raise at $15B valuation (May 2026, Index Ventures co-leading), up from $4B Series C just 7 months earlier (Oct 2025, $250M). Hit ~$800M annualized revenue (May 2026), up from $305M end of 2025. Customer base grew from ~1,000 to 10,000+ companies in under a year. Named customers: Cursor, Perplexity, Notion, Sourcegraph, Uber, DoorDash, Shopify, Upwork. Independently benchmarked as fastest LLM inference. Open role: Forward Deployed Product Manager (San Mateo, $170k-$240k) — direct apply is the strongest play. Also runs an APM program inspired by Google's.",https://fireworks.ai
124,Hugging Face,"Default ML platform and open-source model hub. $400M raised, $4.5B valuation (2023, not re-priced since), 700+ employees across 20+ countries. 13M users, 1M+ models, 30%+ Fortune 500 on platform.",Positive,,Startup,1cr+,Clément Delangue (CEO) — http://linkedin.com/in/clementdelangue | X: @ClementDelangue | Apply via http://huggingface.co/jobs,"Hi Clément.

I've been following Hugging Face and I want to work with you.
I've got 10 years building product in dynamic industries like social media, leading teams of 20+.
Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta. Since then: 25M+ users, $50M+ pipeline, $3M raised, and a patent that cuts conversational AI costs 90%.

Now I'm after the next big thing.
Check out http://tanishksharma.com if the pitch was compelling.

Worth 5 minutes?
+91 89712 58254",DM Founder,"June 20, 2026 12:38 PM",International,High,"Core. The default platform for ML model hosting, sharing, fine-tuning, inference, and deployment. Also expanding into robotics (LeRobot, Reachy hardware). GitHub for AI models.",Reached out,"Apply at http://huggingface.co/jobs. Fully remote-first, distributed across 20+ countries. PM comp is below frontier labs and FAANG by design — mission and equity are the pitch. CEO Clément Delangue is extremely active on LinkedIn and X and known to respond to direct, smart messages. Hugging Face acquired http://GGML.ai (Feb 2026) and Pollen Robotics — new product surface in robotics and edge inference. LeRobot v0.5 (March 2026) shows serious robotics ambition. Best angle for Tanishk: PM for enterprise adoption, or PM for the robotics/LeRobot line. Open-source and community ethos is non-negotiable — must believe in it.",https://huggingface.co
125,Humans&,AI to streamline and coordinate complex workflows. Forbes AI 50 Brink.,Positive,small,Startup,1cr+,"Eric Zelikman (CEO, ex-xAI), Georges Harik (Co-founder, Google employee #7), Andi Peng (ex-Anthropic). SF HQ, ~20 employees. No specific PM listing found; check the company website directly for careers.","Dear Humans&,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Building AI that empowers people instead of replacing them, with this caliber of founding team, is exactly the mission I want next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",DM Founder,"June 21, 2026 6:16 PM",International,Medium,Core. Workflow orchestration agents.,Ready,"Raised $480M seed (Jan 2026) at a $4.48B valuation — instant unicorn status with only ~20 employees, founded just 3 months prior (Sept 2025). Backers include Nvidia, Jeff Bezos, Google Ventures, SV Angel (led by Ron Conway). Founding team from Anthropic, xAI, Google, OpenAI, Meta — CEO Eric Zelikman (ex-xAI, worked on Grok-2), Georges Harik (Google employee #7, built Gmail/Android ad systems), Andi Peng (ex-Anthropic, Claude RL/post-training). Philosophy: AI as 'connective tissue' that augments rather than replaces workers, focused on long-horizon multi-agent RL, memory, and genuine user understanding (solving the 'stranger problem' where AI forgets context every session). First product expected early 2026. Real tension flagged by industry observers: the 'human-centric' framing is unproven at enterprise scale, where cost-reduction incentives often dominate. Extremely early-stage despite the massive valuation — essentially a research bet on team pedigree.",
126,Listen Labs,Automated qualitative customer interviews. ~$100M raised.,Very positive,small,Startup,1cr+,"Alfred Wahlforss (CEO, Co-founder) — SF HQ. Open role: Founding Product Manager, AI Research Platform. Careers via http://listenlabs.ai/careers","Dear Listen Labs,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Your Founding PM role on the AI Research Platform is exactly the scrappy, high-leverage opportunity I want next — the billboard stunt tells me we'd get along.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 21, 2026 4:07 AM",International,Medium,Core. AI customer research.,Ready,"$69M Series B (Jan 2026, led by Ribbit Capital, with Sequoia, Conviction, Pear VC, Evantic), $100M total raised, $500M valuation. Annualized revenue grew 15x in 9 months to eight figures; 1M+ AI-powered interviews conducted. Went viral with a $5K SF billboard hiring stunt to recruit 100+ engineers against Meta's eight-figure offers — scrappy, attention-grabbing growth culture. AI moderates voice/video interviews at scale, replacing the survey-vs-interview tradeoff. Targeting the $140B market research industry. Open Founding PM role is a strong, direct match — apply rather than DM.",https://listenlabs.ai
127,SambaNova,Purpose-built AI chips plus full-stack platform. ~$1.5B raised.,,,Startup,1cr+,,,DM Founder,"June 17, 2026 8:37 PM",International,Low,Core. AI silicon and deployment.,Not started,,https://sambanova.ai
128,Databricks,"Data and AI lakehouse platform. $5.4B revenue run-rate (65% YoY), $165-175B valuation (new round in progress), 8,000+ employees. IPO expected late 2026. HQ San Francisco, strong India presence.",Very positive,,Startup,1cr+,Ali Ghodsi (CEO) — http://linkedin.com/in/alighodsi | Kasey Uhlenhuth (Dir. PM) — http://linkedin.com/in/kaseyuhlenhuth | Apply via http://databricks.com/company/careers,"Dear Databricks,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
In the last few months I've gone deeper into AI productivity directly: side projects, the latest tools, mentoring startups, rebuilding my workflows for an AI-led world. Databricks is exactly where I want to do that next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 19, 2026 8:35 AM",International,High,"Core. Lakebase (AI-native DB for agents), Genie (NL analytics), Agent Bricks (agentic AI platform), AI/BI — all built for enterprises deploying AI in production.",Ready,"Apply at http://databricks.com/company/careers. Strong India engineering hub — Hyderabad and Bangalore offices active. IPO S-1 expected H2 2026 so hiring is ramping. Key PM surfaces: Lakebase (GA 2026), Agent Bricks, Genie. Kasey Uhlenhuth is Director of PM and attended Data + AI Summit 2026 as a speaker — good warm outreach hook. Databricks appointed Simon Davies as Head of APAC + Japan June 2026 — India PM would be in this remit. $300M investment in ANZ signals Pacific expansion.",https://databricks.com
129,Crusoe,Sustainable-energy AI data centers. ~$2.9B raised.,,,Startup,1cr+,,,DM Founder,"June 17, 2026 8:37 PM",International,Low,Core. AI compute infrastructure.,Not started,,https://crusoe.ai
130,EliseAI,AI agents for housing and healthcare operations. ~$392M raised.,Very positive,medium,Startup,1cr+,"Minna Song (CEO, Co-founder), Tony Stoyanov (CTO, Co-founder) — NYC HQ (401 Fifth Avenue, 10-year lease), teams also in SF, Boston, Chicago. Careers via http://eliseai.com/careers","Dear EliseAI,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Automating two of the most essential, broken industries in America (housing and healthcare) is exactly the ambitious problem I want next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 21, 2026 7:15 AM",International,Medium,Core. Vertical AI ops agents.,Ready,"$250M Series E (Aug 2025) led by a16z, valuation $2.2B, $383M+ total raised. Surpassed $100M ARR, grew from 150 to 300+ employees in a year (now ~599). Actively hiring across all departments. 10% of the US apartment market already powered by EliseAI; recently expanded into healthcare (intake, scheduling, patient communication) as a second vertical. Launched Agent by EliseAI mobile app (March 2026). Customers include Bozzuto, Equity Residential, AvalonBay, Invitation Homes. Culture is intense and explicit: 'we hire the best and expect the best... it's hard, it's intense' — fully in-office 4-5 days/week. Strong, fast-growing target but expect a demanding work culture.",https://eliseai.com
131,Reflection,"Open-source models positioned against Chinese labs. ~$2.1B raised, founded 2024.",Very positive,medium,Startup,1cr+,"Team includes researchers from DeepMind, OpenAI, Google Brain, Meta, http://Character.AI, Anthropic. Offices SF, NYC, London, DC (some remote). Careers via http://jobs.ashbyhq.com/reflectionai","Dear Reflection,

The short version of why: 10 years building product in dynamic industries like social media, leading teams of 20+. Early to AI too: I built one of the first AI SaaS products in 2021. It was powered by GPT-3 during its private beta.
Since then I've shipped AI-first products to 25M+ users, generated $50M+ in pipeline, raised $3M from VCs, trained purpose-built models with cutting-edge techniques, and filed a patent that cuts conversational AI costs by 90%.
Building open superintelligence with a team this talent-dense is exactly the kind of mission I want to work on next.

More at http://tanishksharma.com.

Tanishk Sharma
+91 89712 58254
http://tanishksharma.com",Website,"June 21, 2026 7:16 AM",International,Medium,Core. Open frontier models.,Ready,"~$2.1B raised, founded 2024. Mission: build open superintelligence/open-weight frontier models for individuals, agents, enterprises, and nation states — explicit 'Sovereign AI' team and Washington DC presence suggest a government/sovereign-AI angle distinct from typical consumer-facing labs. Currently hiring broadly including a founding Forward Deployed Engineering function bridging research and enterprise deployment. PM roles have appeared in past listings (Glassdoor showed PM among open categories). High-talent-density team explicitly positioned against closed labs (OpenAI, Anthropic, Google) by being open-weight. Strong, well-funded target with real differentiation.",https://reflection.ai
